id;reference;date;cout
1;Handmade Cotton Chicken;cross-platform;Buckinghamshire Factors Investment Account
2;Unbranded Steel Hat withdrawal;Vermont Alaska;matrix static Table
3;primary;Bedfordshire Computer Netherlands Antillian Guilder;Rustic Shirt
4;Quality Officer Concrete;deposit Oregon Towels;auxiliary vertical
5;XSS;RSS;Facilitator Car index
6;Tasty Rubber Towels CSS;Rubber Director deposit;Bedfordshire
7;Movies override Netherlands Antilles;SMS New Mexico Generic Cotton Chips;IB navigating Congolese Franc
8;olive;holistic;SDD Utah
9;Computers Zambian Kwacha;Small transmitting;Nevada
10;Kenya PCI Human;Cotton;Table Customer
