id;nom;slug;description
1;Licensed;orchid infomediaries Salad;generating Rustic Metal Table
2;iterate circuit Configurable;Small Wooden Bike;Unbranded
3;Dam primary;Cambridgeshire Security Berkshire;Japan Sleek Bedfordshire
4;Handcrafted Metal Keyboard exuding calculating;interactive;Operative Officer index
5;Re-engineered Frozen navigating;Licensed Mountain TCP;Sleek Frozen
6;Cliff Borders Shoes;Re-engineered Health violet;Arizona National
7;SDD Islands;olive withdrawal;Home Loan Account solid state wireless
8;applications;Representative Administrator instruction set;Fresh overriding
9;Bedfordshire;firewall override wireless;Generic pixel Djibouti Franc
10;Directives;Product;capacitor optical Jamaican Dollar
