id;ref;date;date_pv_rec;nature_litige;montant;nombre_echeance;total_recouvre;solde_a_recouvrer
1;matrix;2020-07-09;2020-07-08;Fiji Dollar Islands;54797;32730;64529;12811
2;Extended;2020-07-08;2020-07-09;Wooden Granite directional;33825;81294;92594;98152
3;Cheese Steel;2020-07-09;2020-07-08;Product;81180;9567;14052;68917
4;Soft Gorgeous Metal Bacon Handcrafted Rubber Table;2020-07-08;2020-07-08;dot-com Steel;94272;6584;95046;73903
5;hardware transmitting;2020-07-09;2020-07-09;Division Cambridgeshire;97600;12707;634;64701
6;Intranet Borders Jewelery;2020-07-09;2020-07-09;Saint Barthelemy Georgia Cheese;11913;27537;4294;35957
7;parsing hard drive Small Granite Bike;2020-07-08;2020-07-09;Walk leverage;41625;25414;40832;16827
8;Handcrafted Wooden Hat Port;2020-07-08;2020-07-08;granular;31136;2443;38080;40058
9;Investment Account Ergonomic;2020-07-08;2020-07-09;reinvent;74442;64358;88916;439
10;back up portals;2020-07-08;2020-07-08;Lead;15574;71926;86419;17438
