id;nom;slug;description
1;Cross-platform;Nakfa Bedfordshire Oman;Rustic Suriname silver
2;dedicated Salad;system Beauty encoding;invoice embrace Granite
3;payment Paraguay;withdrawal customized Communications;synthesize integrate
4;extranet salmon Dominica;Pants virtual;neural Niue
5;Plastic Fresh Integration;cross-platform Berkshire help-desk;Engineer Checking Account
6;Principal Personal Loan Account;Agent gold;innovate
7;Fully-configurable;exuding Outdoors Steel;Arkansas Personal Loan Account Customer
8;Mouse Practical;Practical Auto Loan Account;Representative Personal Loan Account Global
9;San Marino;indexing;Upgradable olive redundant
10;web-enabled;Coordinator Customer flexibility;Ergonomic Concrete Chicken
