id;nom;slug;description
1;Tools high-level;Internal;transform Corporate
2;B2C 1080p;National Legacy Buckinghamshire;Digitized full-range Mountain
3;mobile card;help-desk;analyzer
4;programming Web;Grocery Unbranded Plastic Pizza;AGP
5;JSON;Wisconsin transition;XML
6;encoding enterprise;Bouvet Island (Bouvetoya);cultivate
7;Small Freeway;National exuding backing up;back up payment
8;Manager;gold Administrator;firmware
9;connecting;payment;Web matrix JBOD
10;capacitor eco-centric;Rubber Wyoming bus;contingency redefine Berkshire
