id;nom;slug;description
1;Assistant;microchip;responsive
2;technologies Marketing web-enabled;Garden Investment Account Shirt;web-enabled index Sleek
3;Director;Practical Concrete Cheese;Car virtual virtual
4;Arizona EXE;Vermont;Internal hacking
5;Applications;Svalbard & Jan Mayen Islands Books Berkshire;sensor Kina
6;TCP platforms;Hryvnia Mouse Creative;context-sensitive Ergonomic lime
7;Producer;Cambridgeshire Music sticky;end-to-end Savings Account
8;Balanced parse;Orchestrator;PCI Buckinghamshire
9;Engineer;Interactions;out-of-the-box
10;deposit;Dong orchid recontextualize;Ukraine
